best			worse			avg				std
25535			42796			28851			3116
25535			38831			27268			3357
24690			33175			25917			871
24690			25535			25046			375
24690			30925			25080			872
24320			25998			24946			282
22680			40006			25104			2438
22680			40006			23971			3224
22680			31552			23013			920
22680			29780			23028			792
22680			24630			22944			346
22680			29660			23068			969
22680			26420			22987			527
22680			26670			22986			550
22680			23212			22912			233
22680			24385			22924			283
22680			25796			22966			473
22390			25392			22942			370
22390			50330			25839			7469
21565			25700			22704			558
21565			25122			21891			515
21565			28455			21873			734
21565			29545			21953			962
21565			24890			21814			395
21565			23225			21818			304
21565			30355			22035			1262
21565			26877			21905			778
20522			26387			21865			708
20522			30822			21273			1899
20522			24585			20768			453
20522			33362			20961			1394
20482			24042			20812			507
20482			33990			21679			2956
20097			28947			20923			1207
20097			22972			20412			449
20097			20097			20298			201
19917			20843			20304			215
19387			24647			20246			725
19387			37705			21639			4892
19387			24197			19685			647
19387			23263			19637			449
18689			23689			19727			740
18689			20989			19018			457
18689			23489			18944			530
18689			23525			19022			763
18689			25574			19046			872
18689			20775			18914			324
18689			22249			18911			400
18689			24373			18943			600
18689			23313			18958			575
18689			20739			18905			289
17356			24989			18940			734
17356			34259			17851			1770
17356			21558			17572			453
17356			28016			17797			1337
17356			23261			17678			856
17356			21756			17691			741
17356			21070			17607			509
17356			27656			17705			1210
17356			25066			17618			793
17356			21230			17657			640
17356			25548			17657			944
17356			23711			17726			991
17356			20971			17620			550
17356			27081			17798			1328
17356			21124			17599			494
17356			29316			17782			1445
17356			26056			17773			1309
17356			20376			17560			347
17356			19590			17562			300
17356			21796			17574			475
17356			24551			17606			737
16816			17846			17529			188
16816			35767			18589			4411
16776			21636			17053			546
16776			21038			17043			546
16666			20916			16984			445
16666			30799			17238			1774
16666			22004			16946			633
16666			20232			16903			458
16666			18154			16862			264
16666			22091			16942			680
16666			21071			16920			613
16666			21718			16933			633
16666			22516			16891			605
16666			17706			16843			196
16496			17491			16839			187
16496			36115			17584			3784
16496			21298			16822			713
16496			21606			16771			705
16496			18062			16677			227
16496			21298			16709			505
16496			20086			16715			431
16496			27156			16841			1149
16496			21674			16817			780
16496			20299			16779			542
16496			27576			16905			1303
16496			21611			16905			938
16496			24086			16806			939
16496			21116			16824			698
16496			17096			16667			175
16496			25901			16974			1488
16496			21671			16805			761
16496			23746			16735			740
16496			22031			16799			778
16496			21418			16710			517
16496			22556			16732			633
16149			23081			16723			677
16149			26447			16831			1265
16149			22715			16406			697
16149			18375			16368			371
16149			23404			16501			1101
16149			21714			16398			604
16149			19899			16391			492
15724			23399			16462			862
15724			36500			17122			3966
15724			18199			15938			347
15724			22794			15986			753
15724			19234			15951			511
15724			19407			15953			526
15724			22074			15978			730
15724			21649			16003			734
15724			21413			16062			919
15724			19279			15958			482
15724			22064			16118			1109
15724			19214			15925			390
15724			23342			16000			815
15724			19829			15944			473
15724			23234			16001			847
15724			28054			16085			1323
15724			18906			15959			475
15724			25079			16025			1003
15724			20892			15979			642
15724			17364			15916			263
15724			23314			16100			1084
15724			23113			16105			1160
15724			15724			15881			157
15724			19724			15962			480
15724			17804			15917			284
15724			20236			15950			508
15724			16425			15888			172
15724			17054			15895			206
15724			19154			15950			447
15724			23294			16055			942
15724			23894			16034			1080
15724			18070			15925			347
15724			23004			16019			874
15724			20914			15933			540
15724			19154			15964			503
15724			21289			15973			673
15724			21784			16005			725
15724			27684			16027			1212
15724			16554			15890			178
15724			15724			15881			157
15724			15724			15881			157
15724			21149			15987			666
15724			19874			15945			494
15724			18224			15928			345
15724			23894			16036			933
15724			22290			16046			974
15724			20144			15974			562
15724			23576			16008			919
15724			22444			15957			692
15724			15724			15881			157
15724			19290			15943			427
15724			20404			15982			582
15724			22290			16052			941
15724			25079			15994			952
15724			24744			16099			1198
15724			20414			16003			648
15724			20484			15973			662
15724			18784			15929			381
15724			19974			15959			506
15724			20074			16017			710
15724			22782			16042			852
15724			18929			15913			356
15724			18344			15907			304
15724			22309			16077			1013
15724			20776			15948			548
15724			17434			15898			232
15724			21784			16033			872
15724			22074			16042			723
15724			21289			16045			741
15724			21144			15961			594
15724			23294			16011			897
15724			23894			15983			838
15724			21149			15951			567
15724			19417			15982			573
15724			20646			15994			644
15724			23314			16193			1359
15724			21559			15951			612
15724			25684			16164			1163
15724			19168			15916			377
15724			21649			16007			797
15724			20414			15946			522
15724			21289			15940			576
15724			24434			16146			1272
15724			22794			16022			955
15724			22290			16011			747
15724			19097			15947			484
15724			17765			15902			257
15724			18323			15907			303
15724			19940			15963			529
15724			20776			16068			777
15724			19362			15931			411
15724			22609			16074			953
15724			21582			16092			964
15724			21574			15968			661
15724			19362			15918			395
15724			21754			15978			717
15724			17936			15903			270
15724			23113			16012			937
15724			18224			15929			369
15724			22074			15971			700
15724			21149			15997			697
15724			23164			16024			940
15724			22799			15969			734
15724			24434			16152			1196
15724			22794			16141			1039
15724			19670			15971			539
15724			22979			15979			776
15724			20236			16004			689
15724			22356			16039			898
